债券募集说明书名称,公告发布日,半透明小字
棕榈园林：2016年面向合格投资者公开发行公司债券（第一期）募集说明书,2016-03-30,股票简称：棕榈园林 股票代码：002431 （住所：中山市小榄镇新华中路 120 号向明大厦 11C） 2016 年面向合格投资者 公开发行公司债券（第一期） 募集说明书 主承销商/债券受托管理人 摩
太阳纸业：2016年面向合格投资者公开发行公司债券（第一期）募集说明书,2016-03-29,"股票代码：002078 股票简称：太阳纸业 山东太阳纸业股份有限公司 SHANDONG SUN PAPER INDUSTRY JOINT STOCK CO., LTD. （山东省济宁市兖州区西关大街6"
中国宝安：2016年面向合格投资者公开发行公司债券（第一期）募集说明书,2016-03-24,（住所：广东省深圳市笋岗东路宝安广场 A座 28-29层） 中国宝安集团股份有限公司 2016年面向合格投资者 公开发行公司债券 （第一期） 募集说明书 主承销商 （住所：深圳市罗湖区红岭中路 101
华西股份：2016年公开发行公司债券（第一期）募集说明书（面向合格投资者）,2016-03-24,股票简称：华西股份 股票代码：000936 江苏华西村股份有限公司 （住所：江苏省江阴市华西村南苑宾馆 9 号楼） 2016 年公开发行公司债券（第一期） 募集说明书 （面向合格投资者） 主承销商： 
泛海控股：2016年面向合格投资者公开发行公司债券（第二期）募集说明书,2016-03-21,1-1-1 泛海控股股份有限公司 （住所：北京市东城区建国门内大街28号民生金融中心C座22层） 2016年面向合格投资者公开发行公司债券 （第二期） 募集说明书 主承销商 （住所：北京市朝阳区安立路
TCL 集团：2016年面向合格投资者公开发行公司债券（第一期）募集说明书（更新后）,2016-03-15,TCL 集团股份有限公司 公司债券募集说明书 股票简称：TCL 集团股票代码：000100.SZ TCL集团股份有限公司 （住所：广东省惠州市仲恺高新技术产业开发区十九号小区） 2016 年面向合格投
京东方Ａ：2016年面向合格投资者公开发行公司债券（第一期）募集说明书,2016-03-17,京东方科技集团股份有限公司 2016 年面向合格投资者公开发行 公司债券（第一期）募集说明书 牵头主承销商/薄记管理人/债券受托管理人 （住所：北京市朝阳区安立路 66 号 4 号楼） 联席主承销商 
TCL 集团：2016年面向合格投资者公开发行公司债券（第一期）募集说明书（已取消）,2016-03-14,TCL 集团股份有限公司 公司债券募集说明书 股票简称：TCL 集团股票代码：000100.SZ TCL集团股份有限公司 （住所：广东省惠州市仲恺高新技术产业开发区十九号小区） 2016 年面向合格投
软控股份：2016年公开发行公司债券（第一期）募集说明书（面向合格投资者）,2016-03-14,软控股份有限公司 2016年公开发行公司债券（第一期）募集说明书（面向合格投资者） 公司代码：002073 公司简称：软控股份 软控股份有限公司 2016年公开发行公司债券（第一期） 募集说明书 (面
厦门港务：2016年面向合格投资者公开发行公司债券（第二期）募集说明书,2016-10-21,股票简称：厦门港务 股票代码：000905 厦门港务发展股份有限公司 （住址：厦门市湖里区东港北路 31号港务大厦 20楼、21楼） 2016年面向合格投资者公开发行公司债券（第二期） 募集说明书 牵
泛海控股：2016年面向合格投资者公开发行公司债券（第一期）募集说明书,2016-03-03,1-1-1 1-1-2 声 明 本募集说明书及其摘要的全部内容遵循《中华人民共和国公司法》、《中华 人民共和国证券法》、《公司债券发行与交易管理办法》、《公开发行证券的公 司信息披露内容与格式准则第 
天源迪科：2016年面向合格投资者公开发行公司债券（第一期）募集说明书,2016-02-26,深圳天源迪科信息技术股份有限公司 （深圳市南山区粤海街道高新区南区市高新技术工业村 T3栋 B3楼） 2016年面向合格投资者 公开发行公司债券（第一期） 募集说明书 主承销商 签署日期：二零一六年二
青岛双星：2016年面向合格投资者公开发行公司债券（第一期）募集说明书,2016-02-23,股票简称：青岛双星 股票代码：000599 青岛双星股份有限公司 （住所：山东省青岛市黄岛区月亮湾路 1号） 2016 年面向合格投资者公开发行公司债券 （第一期） 募集说明书 主承销商 /债券受托管
巨轮智能：2016年面向合格投资者公开发行公司债券（第一期）募集说明书,2016-01-26,巨轮智能装备股份有限公司 2016 年面向合格投资者公开发行公司债券（第一期）募集说明书 1-1-1 发行人声明 本募集说明书依据《中华人民共和国公司法》、《中华人民共和国证券法》、 《公司债券发行与
中南建设：2016年面向合格投资者公开发行公司债券（第一期）募集说明书,2016-01-20,股票简称：中南建设 股票代码：000961 江苏中南建设集团股份有限公司 住所：江苏省海门市常乐镇 2016 年面向合格投资者 公开发行公司债券（第一期） 募集说明书 牵头主承销商/簿记管理人/债券受
中弘股份：2016年面向合格投资者公开发行公司债券（第一期）募集说明书,2016-01-21,"股票简称：中弘股份 股票代码：000979 中弘控股股份有限公司 Zhonghong Holding Co., Ltd. （安徽省宿州市浍水路 271 号） 2016 年面向合格投资者 公开发行公司债"
比亚迪：公开发行2015年公司债券（第一期）募集说明书,2015-08-10,比亚迪股份有限公司 公开发行公司债券募集说明书 1-1-1 声明 本募集说明书依据《中华人民共和国公司法》、《中华人民共和国证券法》、 《公司债券发行与交易管理办法》、《公开发行证券的公司信息披露内容
阳 光 城：公开发行2015年公司债券（第二期）募集说明书,2015-08-10,阳光城集团股份有限公司公开发行 2015 年公司债券（第二期）募集说明书 2 声明 本募集说明书依据《中华人民共和国公司法》、《中华人民共和国证券法》、《公司债 券发行与交易管理办法》、《公开发行证券
铁汉生态：2016年面向合格投资者公开发行公司债券（第一期）募集说明书,2016-01-11,"深圳市铁汉生态环境股份有限公司 Shenzhen Techand Ecology&Environment Co.,Ltd （地址：深圳市龙岗区龙城街道龙岗天安数码创新园三号厂房 B1401） 深圳市铁"
银亿股份：2015年面向合格投资者公开发行公司债券（第一期）募集说明书,2015-12-22,1-1-1 银亿房地产股份有限公司 面向合格投资者公开发行公司债券募集说明书 1-1-2 声 明 本募集说明书及其摘要的全部内容依据《中华人民共和国公司法》、《中华人 民共和国证券法》、《公司债券发行
天保基建：公开发行2015年公司债券（第一期）募集说明书,2015-07-17,"股票代码：000965 股票简称：天保基建 天津天保基建股份有限公司 TianJin Tianbao Infrastructure Co.,Ltd. （天津空港经济区西五道35号汇津广场1号楼） 公开"
泛海控股：2015年面向合格投资者公开发行公司债券（第一期）募集说明书,2015-12-17,泛海控股股份有限公司 （住所：北京市东城区建国门内大街28号民生金融中心C座22层） 2015年面向合格投资者公开发行公司债券 （第一期） 募集说明书 主承销商 （住所：北京市朝阳区安立路66号4号楼
国海证券：2015年公司债券公开发行募集说明书,2015-05-06,股票简称：国海证券 股票代码：000750 （住所：广西桂林市辅星路 13 号） 2015 年公司债券公开发行 募集说明书 保荐人/主承销商 （住所：上海市浦东新区商城路 618 号） 签署时间：二零
厦门港务：2016年面向合格投资者公开发行公司债券（第一期）募集说明书,2016-06-23,股票简称：厦门港务 股票代码：000905 厦门港务发展股份有限公司 （住址：厦门市湖里区东港北路 31号港务大厦 20楼、21楼） 2016年面向合格投资者公开发行公司债券 募集说明书（第一期） 牵
顺鑫农业：公开发行2015年公司债券（第二期）募集说明书,2015-10-22,"股票代码：000860 股票简称：顺鑫农业 北京顺鑫农业股份有限公司 BEIJING SHUNXIN AGRICULTURE CO., LTD. （北京市顺义区站前街1号院1号楼12层） 公开发行 2"
昆仑万维：2016年公开发行公司债券（第一期）募集说明书（面向合格投资者）,2016-05-19,0 Nawo 北京昆仑万维科技股份有限公司 （住所：北京市海淀区知春路 118 号知春大厦 B 座 605E） 2016 年公开发行公司债券（第一期） 募集说明书 （面向合格投资者） 主承销商/债券受
